	SLA0109	SLA0110	SLA0210	SLA0514	SLA1213	SLA1812	SLA2014	SLA2311	SLA2411	SLA2710	SLA3014	SLA3311	SLA3315	SLA615	SLA715
ENSG00000011426	32	39	39	84	51	61	6	73	19	27	10	35	23	4	8
ENSG00000011451	465	538	645	415	773	679	463	455	491	311	193	691	423	195	404
ENSG00000011454	1179	1435	1611	1809	1431	1663	746	1247	1014	733	273	1393	989	619	576
ENSG00000011465	0	0	10	23	0	1	0	5	1	13	0	0	0	0	0
ENSG00000011478	36	41	69	45	53	67	84	45	30	29	18	37	40	17	38
ENSG00000011485	434	401	467	328	623	493	230	361	436	329	133	455	358	128	198
ENSG00000011523	893	1218	1167	1302	1113	1021	519	864	673	620	190	1094	826	371	421
ENSG00000011566	588	538	654	818	565	600	355	550	430	275	131	567	427	189	170
ENSG00000011590	35	94	80	83	68	68	35	59	32	64	16	76	38	36	54
ENSG00000011600	1555	5554	6112	6310	3726	4194	1031	2239	3387	946	405	3673	1334	214	682
ENSG00000011638	104	89	84	48	42	58	49	37	66	26	16	56	64	26	37
ENSG00000011677	0	0	0	8	0	0	1	2	0	6	0	2	0	0	0
ENSG00000012048	199	167	237	261	178	213	58	142	118	113	43	185	136	60	80
ENSG00000012061	263	439	414	307	441	356	213	300	233	149	73	371	289	129	270
ENSG00000012124	570	1782	630	225	502	821	1258	608	336	659	504	640	278	497	638
ENSG00000012171	12	16	17	21	14	7	5	6	5	4	6	13	4	1	9
ENSG00000012174	203	260	338	369	226	287	87	234	179	118	23	250	205	63	95
ENSG00000012211	121	132	121	81	174	121	73	77	97	20	4	97	63	24	84
ENSG00000012223	12	231	501	20	229	488	47	156	90	2	16	99	6	8	16
ENSG00000012232	633	584	564	396	562	755	202	440	404	272	148	562	398	182	306
ENSG00000012504	0	0	0	8	1	2	0	0	0	6	0	0	0	0	0
ENSG00000012660	2740	2611	3382	3803	2551	2710	1372	2053	1783	1184	392	2302	1744	802	747
ENSG00000012779	1592	2375	2251	1745	2021	2674	1093	1751	1713	736	508	1878	1051	526	1180
ENSG00000012817	1	2247	3298	2	3203	3139	466	0	2012	0	704	2803	2	1543	1696
ENSG00000012822	1800	2196	2950	2179	2522	2424	1080	1971	1683	1521	465	2901	1377	747	829
ENSG00000012963	315	340	352	277	316	375	123	271	238	211	42	385	275	99	96
